lon,lat,source
73.19,22.31,record
146.75,-19.31,record
145.76,-16.92,record
-49.26,-16.69,record
-111.95,33.42,record
-72.9,11.55,record
110.33,-7.88,record
146.77,-19.28,record
-95.35,29.75,record
104.76,-2.99,record
-72.45,11.78,record
-15.89,14.87,record
-83.51,10.1,record
-60.03,-2.95,record
121.48,13.04,record
-111.94,33.42,record
-109.63,26.92,record
-98.29,26.08,record
-38.59,-3.78,record
-98.64,24.93,record
-57.58,-25.32,record
-10.04,5.88,record
80.27,13.08,record
88.36,22.58,record
101.44,3.04,record
77.1,28.57,record
80.27,13.08,record
73.02,26.28,record
75.81,26.91,record
45.18,-12.91,record
145.76,-16.92,record
-66.23,17.98,record
-86.58,13.05,record
-110.93,31.34,record
45.12,-12.72,record
-110.98,32.23,record
-64.19,-31.4,record
45.17,-12.97,record
-65.91,18.05,record
-49.92,-22.44,record
-17.44,14.67,record
-60.66,2.83,record
3.35,7.16,record
88.26,27.05,record
45.11,-12.83,record
107.61,-6.91,record
-63.2,-17.79,record
-15.92,13.8,record
-49.17,-20.95,record
-49.52,-20.82,record
-12.17,12.56,record
73.02,26.28,record
75.84,25.18,record
-61.51,10.15,record
101.29,13.64,record
-61.4,10.63,record
80.27,13.08,record
11.98,-1.65,record
-14.8,14.42,record
-51.05,-23.27,record
73.09,18.74,record
-48.3,-18.94,record
-61.42,10.66,record
99,18.79,record
-61.51,10.14,record
-49.98,-23.16,record
-48.26,-18.88,record
-48.27,-18.91,record
-35.79,-6.97,record
-50.74,-21.92,record
-61.51,10.14,record
73.48,16.99,record
73.2,17.47,record
73.33,16.55,record
-49.52,-20.82,record
-16.44,14.64,record
-15.33,15.72,record
-59.93,-3.12,record
-52.11,-21.77,record
-96.12,18.09,record
-61.51,10.14,record
98.57,16.75,record
-51.27,-23.28,record
99.5,16.5,record
-52.46,-23.08,record
-59.99,-3.11,record
72.96,18.33,record
-51.71,-20.79,record
-59.97,-3.02,record
-59.98,-3.11,record
-51.94,-23.42,record
73.52,16.66,record
-49.38,-20.81,record
-60.14,-3.23,record
-82.27,23.04,record
73.39,17.72,record
-70.44,9.36,record
100.5,13.63,record
-76.52,3.45,record
-89.62,20.98,record
72.93,18.78,record
-43.45,-22.73,record
-59.96,-3.07,record
73.22,17.29,record
-43.47,-22.74,record
-70.43,9.38,record
73.51,17.53,record
73.29,16.99,record
145.46,-16.49,record
-70.45,9.43,record
73.4,18.14,record
73.55,17.18,record
100.5,13.63,record
-43.48,-22.73,record
-70.43,9.37,record
73.82,15.9,record
-43.44,-22.74,record
73.98,17.55,record
73.18,17.77,record
145.32,-16.25,record
-43.44,-22.77,record
-12.23,12.6,record
74.53,20.55,record
-95.02,16.43,record
76.52,9.59,record
-12.2,12.53,record
-43.27,-22.84,record
73.42,18.07,record
-14.75,14.42,record
99.63,16.37,record
101.29,13.58,record
-60.72,2.81,record
-34.92,-8.09,record
101.3,13.6,record
-43.45,-22.75,record
99.37,16.4,record
-43.47,-22.76,record
76.33,9.49,record
-54.59,-25.97,record
98.57,16.71,record
146.79,-19.28,record
-14.87,15.28,record
-43.39,-22.89,record
-43.44,-22.74,record
-43.44,-22.76,record
-50.45,-21.21,record
-43.27,-22.85,record
-43.47,-22.72,record
-43.42,-22.76,record
-43.25,-22.9,record
101.03,3.98,record
145.76,-16.92,record
-82.46,27.98,record
-43.45,-22.76,record
-35.74,-9.66,record
-43.43,-22.75,record
-72.63,18.51,record
-43.45,-22.76,record
-82.41,27.99,record
-43.46,-22.75,record
-37.05,-10.9,record
-54.58,-25.61,record
-47.8,-21.19,record
-43.44,-22.75,record
-48.58,-20.55,record
-54.58,-25.97,record
-73.76,3.98,record
-82.72,28.22,record
-35.01,-8.11,record
-74.75,10.92,record
-63.81,-22.55,record
-74.81,4.3,record
-49.08,-22.33,record
-46.32,-23.95,record
-90.39,20.86,record
-43.49,-22.75,record
-48.58,-20.55,record
-51.39,-22.12,record
-74.77,10.87,record
-76.52,3.45,record
-37.43,-10.69,record
13.51,9.4,record
-63.91,-8.76,record
-89.62,20.98,record
79.77,11.75,record
-63.91,-8.76,record
14.23,10.25,record
101.9,15.08,record
-51.92,-23.41,record
34.75,-0.1,record
40.11,-3.22,record
-35.74,-9.66,record
-37.06,-10.91,record
13.92,10.97,record
98.38,7.88,record
-51.17,-23.3,record
-39.33,-7.17,record
-60.01,-3.12,record
-48.45,-22.88,record
-36.66,-9.75,record
-47.8,-21.19,record
-49.38,-20.81,record
-60.11,-12.71,record
-49.95,-22.22,record
99.28,14.28,record
-51.39,-22.12,record
-34.91,-8.02,record
43.45,-11.83,record
-49.08,-22.33,record
-60.06,-3.11,record
13.81,10.74,record
-47.08,-22.92,record
-73.19,-3.75,record
-60.02,-3.12,record
-34.95,-8.01,record
-13.68,13.77,record
92.7,11.61,record
-54.62,-20.45,record
99,18.79,record
-69.73,-1.26,record
98.34,8.86,record
-82.45,23.1,record
98.54,8.45,record
43.28,-11.4,record
-96.38,19.6,record
145.76,-16.92,record
-34.96,-8.02,record
101,13.37,record
-13.12,13.22,record
-59.94,-3.06,record
-67.81,-9.98,record
-34.92,-8.03,record
-16.45,14.63,record
-34.94,-8.06,record
-15.3,14.07,record
-74.65,4.21,record
-59.96,-3.09,record
-17.44,14.68,record
-56.09,-15.62,record
-16.49,16.02,record
-60.62,-3.29,record
99.53,16.47,record
-15.9,14.87,record
92.7,11.6,record
-63.03,-7.51,record
-46.32,-23.95,record
-12.55,13.02,record
-63.12,-4.1,record
-16.25,15.62,record
-45.56,-23.04,record
100.38,13.64,record
92.67,11.58,record
99,18.79,record
-12.71,14.19,record
-48.28,-18.91,record
-45.31,-22.81,record
-15.69,16.2,record
-15.55,14.11,record
-60.66,2.83,record
-38.5,-3.74,record
-93.77,32.48,record
-55.13,-27.88,record
-61.32,10.79,record
-75.21,20.14,record
-55.91,-27.4,record
-14.82,13.98,record
-34.91,-8.02,record
-35.87,-7.23,record
145.76,-16.92,record
-12.23,12.6,record
-53.65,-26.25,record
-54.6,-25.92,record
-12.25,12.63,record
-104.23,32.42,record
98.55,16.75,record
-91.15,30.46,record
-38.55,-3.76,record
76.97,11.01,record
-103.27,25.78,record
73.02,26.28,record
-13.3,13.04,record
-61.45,10.42,record
-98.48,26.25,record
-49.38,-20.81,record
98.57,16.75,record
-38.58,-3.73,record
6.38,6.3,record
-90.07,29.97,record
100.41,13.69,record
-11.76,12.83,record
-44.23,-2.48,record
-87.56,37.98,record
-38.52,-3.72,record
-54.58,-26.41,record
-38.61,-3.71,record
98.55,16.75,record
-81.65,30.33,record
-38.6,-3.76,record
-98.82,26.39,record
-99.86,28.52,record
-87.62,41.88,record
-100.52,28.71,record
-60.69,2.82,record
-92.02,30.21,record
-12.01,12.41,record
-98.15,27.22,record
-98.55,28.45,record
-95.4,29.83,record
-98.23,26.2,record
-97.76,26.05,record
-99.1,28.88,record
-98.11,29.7,record
39.82,-3.75,record
-51.21,-23.32,record
100.6,13.87,record
-99.79,29.21,record
-16.83,14.81,record
-99.23,28.44,record
-66.3,17.98,record
-47.2,-22.63,record
-97.6,25.98,record
-61.4,10.63,record
100.4,14.05,record
-94.97,29.73,record
-89.62,20.94,record
98.57,16.75,record
-99.28,26.91,record
-98.19,26.2,record
-98.05,26.17,record
-66.73,18.48,record
-97.69,26.19,record
-17.44,14.67,record
-97.54,26.02,record
-16.97,14.42,record
-97.91,26.14,record
-17.42,14.75,record
-17.44,14.67,record
-4.16,12.22,record
-97.63,26.13,record
-90.79,14.3,record
-98.27,26.1,record
120.28,22.62,record
-14.41,13.38,record
-98.62,27.88,record
100.7,13.72,record
100.32,13.8,record
-16.44,14.63,record
146.79,-19.28,record
-61.43,10.53,record
-99.14,23.74,record
-66.55,18.46,record
110.42,-6.97,record
