lon,lat,source
55.55,-21.02,record
-49.98,-23.16,record
34.92,31.97,record
-53.93,-27.44,record
45.17,-12.97,record
-49.28,-16.64,record
45.18,-12.91,record
-98.29,26.08,record
-159.6,22.04,record
-82.48,28.64,record
-48.49,-27.58,record
55.53,-21.27,record
-86.53,39.17,record
-49.28,-16.64,record
-43.98,-19.85,record
121.48,13.04,record
120.3,22.61,record
-43.3,-22.92,record
-98.37,25.81,record
-82.48,28.64,record
45.12,-12.72,record
-90.16,38.62,record
-77.32,38.85,record
-87.53,13.02,record
55.47,-21.12,record
55.48,-21.32,record
-80.46,27.52,record
-59.98,-3.11,record
75.84,25.18,record
-83.74,34.92,record
-79.39,9.08,record
-76.62,39.29,record
-60.14,-3.23,record
-46.51,-23.49,record
-46.42,-10.58,record
11.98,-1.65,record
142.72,-9.15,record
-45.44,-22.94,record
99.63,16.37,record
101.29,13.64,record
-59.97,-3.02,record
-82.41,27.99,record
55.63,-21.12,record
-82.72,28.22,record
99.5,16.5,record
-78.65,35.79,record
-77.47,38.75,record
73.02,26.28,record
-52.46,-23.08,record
-81.8,26.7,record
55.42,-21.05,record
100.3,5.36,record
-157.81,21.36,record
-51.27,-23.28,record
121.35,30.18,record
-59.93,-3.12,record
-34.95,-8.01,record
136.56,-4.76,record
-49.52,-20.82,record
-82.46,27.98,record
-34.91,-8.02,record
-85.48,32.61,record
-86.89,12.43,record
-45.65,-22.94,record
76.52,9.59,record
-56.29,-15.54,record
-82.34,29.66,record
109.73,1.64,record
-81.89,28.96,record
-51.94,-23.42,record
-85.48,32.61,record
-84.51,38.04,record
-80.46,27.52,record
142.73,-9.27,record
78.59,9.54,record
107.19,27.95,record
-34.94,-8.06,record
109.67,1.62,record
-82.4,28,record
-85.01,32.48,record
49.4,-18.15,record
114.28,30.57,record
-50.99,-20.21,record
74.69,13.62,record
-90.16,38.62,record
-34.91,-8.02,record
-50.53,-19.97,record
-45.31,-23.84,record
-34.96,-8.02,record
109.92,1.49,record
-51.49,-20.88,record
98.55,16.75,record
-34.92,-8.03,record
-45.42,-23.88,record
35.67,34.27,record
109.19,27.73,record
-55.06,-22.2,record
-51.85,-21.31,record
-50.3,-19.98,record
109.7,1.63,record
-48.95,-20.48,record
-85.49,32.61,record
-53.93,-27.46,record
-47.2,-22.63,record
98.57,16.75,record
36.4,34.39,record
-38.55,-3.76,record
-49.37,-20.2,record
-50.17,-19.98,record
-47.84,-24.5,record
-104.23,32.42,record
99.94,9.53,record
109.85,1.67,record
-80.66,26.82,record
99.08,9.85,record
-50.84,-20.15,record
106.63,26.65,record
-51.33,-20.38,record
-48.05,-20.2,record
105.48,26.2,record
108.92,27.24,record
-49.67,-19.98,record
-48.69,-20.18,record
-104.81,40.09,record
-90.19,30.63,record
-49.1,-26.92,record
-50.73,-20.04,record
-155.09,19.81,record
-49.2,-20.34,record
105.67,25.98,record
-49.4,-20.03,record
-80.06,26.71,record
-50.37,-19.99,record
-83.76,34.95,record
106.44,26.54,record
-90.16,38.62,record
-45.56,-23.04,record
-49.9,-20.06,record
98.57,16.71,record
100.42,6.63,record
107.89,25.41,record
-48.54,-27.6,record
-89.78,30.28,record
99.33,9.14,record
-84.2,33.94,record
105.61,27.14,record
-90.08,30.44,record
-60.05,-3.09,record
-54.58,-26.41,record
-43.45,-22.75,record
-52.89,-3.45,record
-85.85,31.31,record
-48.53,-25.52,record
-45.46,-22.93,record
-118.13,34.09,record
-118.13,34.06,record
-45.55,-22.97,record
-45.46,-22.93,record
-87.28,30.52,record
105.44,25.1,record
-53.93,-27.46,record
-40.37,-20.24,record
-121.28,38.13,record
-84.2,33.94,record
-118.2,33.77,record
-85.38,30.8,record
-118.07,34.09,record
-43.49,-22.75,record
-82.61,36.62,record
-85.38,30.8,record
-48.53,-25.52,record
-90.16,38.62,record
-122.42,37.66,record
-83.76,34.95,record
-77.95,34.22,record
-78.94,37.88,record
-48.54,-27.6,record
-82.91,36.86,record
-45.46,-22.93,record
-43.43,-22.6,record
-117.98,33.76,record
-35.74,-9.66,record
-117.7,34.01,record
-45.46,-22.93,record
-118.29,33.78,record
-118.13,34.06,record
106.93,27.73,record
-117.7,34.01,record
-118.01,34.06,record
-45.43,-23.62,record
-77.5,37.24,record
-117.92,33.63,record
140.34,38.25,record
-117.91,33.98,record
-52.7,-3.42,record
107.89,25.41,record
-121.6,37.09,record
-117.89,33.92,record
-83,36.73,record
105.61,27.14,record
106.63,26.65,record
140.96,38.57,record
136.62,35.37,record
-82.63,36.89,record
-117.91,33.98,record
-47.8,-24.89,record
-82.68,36.64,record
108.43,27.05,record
-82.62,36.94,record
-82.63,36.92,record
-83.11,36.69,record
107.46,25.34,record
-82.52,37.04,record
-117.24,33.2,record
-34.97,-8.1,record
-92.25,14.92,record
-82.61,37.01,record
-82.47,36.78,record
141.12,39.29,record
105.48,26.2,record
-75.16,39.95,record
-82.6,37.12,record
140.03,40.2,record
-82.38,36.89,record
-82.47,36.65,record
-83.75,35.68,record
141.29,38.43,record
106.63,26.65,record
